Date,Open,High,Low,Close,Volume
2013-01-02,16.792424781812638,16.82820367504703,16.422811568934783,16.647186279296875,560518000
2013-01-03,16.61231523143833,16.66658999970229,16.403706256243524,16.43705940246582,352965200
2013-01-04,16.28150723602431,16.331840562238202,15.943730020774554,15.979206085205078,594333600
2013-01-07,15.827605191453728,16.048948500480407,15.621421961578315,15.885215759277344,484156400
2013-01-08,16.046223415553555,16.12748417783673,15.804868490759398,15.927970886230469,458707200
2013-01-09,15.842766028454276,15.918872479438447,15.645375699817125,15.679033279418945,407604400
2013-01-10,16.026209012374533,16.03136330994314,15.631125545492457,15.873392105102539,601146000
2013-01-11,15.79728358342391,15.92827041209384,15.737247278900018,15.7760591506958,350506800
2013-01-14,15.241801202056928,15.387949739298996,15.115363034501302,15.213603973388672,734207600
2013-01-15,15.109000215832008,15.129921843310001,14.656608885324703,14.733625411987305,876772400
2013-01-16,14.99802273388076,15.446775385015584,14.933136550327648,15.345198631286621,690804800
2013-01-17,15.47315874695188,15.486500334826564,15.222100797867864,15.24180793762207,453678400
2013-01-18,15.115667207442314,15.227855364286642,15.05138665326307,15.160543441772461,472922800
2013-01-22,15.298807658557983,15.399472730273471,15.058361204142383,15.305174827575684,461546400
2013-01-23,15.427669548432819,15.615054077251742,15.305172811092344,15.585339546203613,861509600
2013-01-24,13.947700438993314,14.121440602958343,13.652069142771085,13.659650802612305,1460852400
2013-01-25,13.695731371865785,13.833388199712278,13.189671812651996,13.337638854980469,1208026400
2013-01-28,13.275478498499893,13.741816026505074,13.215745820883672,13.639330863952637,785517600
2013-01-29,13.9022180590075,13.953764275812567,13.708769149162576,13.895243644714355,571158000
2013-01-30,13.856733963122656,14.026532666625329,13.780931953646379,13.851579666137695,417155200
2013-01-31,13.85612932293991,13.925866982300466,13.795487387180996,13.81095027923584,319334400
2013-02-01,13.920711520375605,13.931930172296642,13.59445731794447,13.75424861907959,539484400
2013-02-04,13.763042954680754,13.824594949822734,13.401919078418219,13.411622047424316,477117200
2013-02-05,13.46407794023354,13.939816533792817,13.408590298943695,13.882205963134766,573347600
2013-02-06,13.84066645722618,14.14478623033707,13.722716752723022,13.867349624633789,593706400
2013-02-07,14.128111098580813,14.333969922198003,13.849665010675915,14.279685020446777,704580800
2013-02-08,14.45595689952454,14.602651004976995,14.28059339259344,14.485844612121582,633158400
2013-02-11,14.532200449416006,14.789602872684187,14.433084000850098,14.636807441711426,517490400
2013-02-12,14.623996420486568,14.711525868794482,14.265037729498768,14.269917488098145,609053200
2013-02-13,14.248874661938748,14.444975491553297,14.127188525996319,14.242774963378906,475207600
2013-02-14,14.16683645564919,14.38398084888707,14.151588022871469,14.22996711730957,355275200
2013-02-15,14.298895773836547,14.338849221157483,14.026551056081399,14.033870697021484,391745200
2013-02-19,14.062534538449208,14.112245864344574,13.84142574043231,14.028680801391602,435783600
2013-02-20,13.958536411954585,13.958536411954585,13.68741008721516,13.688936233520508,476302400
2013-02-21,13.602016640317727,13.698695646317633,13.505033870941348,13.603846549987793,447182400
2013-02-22,13.701132712082606,13.772801309115023,13.620312939821183,13.748708724975586,330654800
2013-02-25,13.841423729838077,13.88015559177169,13.49740808137234,13.504423141479492,372579200
2013-02-26,13.535528262653845,13.770971696727912,13.347662468442648,13.69259262084961,501499600
2013-02-27,13.676127776851557,13.798424720225423,13.438855972901376,13.558406829833984,587350400
2013-02-28,13.54254803264108,13.659049036340424,13.461729049682617,13.461729049682617,322515200
2013-03-01,13.358033077089146,13.363523619940793,13.113441690170362,13.128385543823242,552448400
2013-03-04,13.046958484595033,13.059157883717734,12.7785782189285,12.810601234436035,582755600
2013-03-05,12.854214585582085,13.272338866749937,12.831951086392197,13.148822784423828,638433600
2013-03-06,13.251599837818945,13.27416872774922,12.94418147380206,12.981694221496582,460250000
2013-03-07,12.94631474529643,13.175353964577543,12.84140236521405,13.131741523742676,468473600
2013-03-08,13.107953194165018,13.279655238454483,13.071660393039226,13.166508674621582,391482000
2013-03-11,13.106426704250076,13.38883703662777,12.965831507894988,13.354068756103516,474236000
2013-03-12,13.284839448923117,13.384872060277198,13.039941849836838,13.066169738769531,465911600
2013-03-13,13.066783765249324,13.2512943955169,12.972545436844781,13.063733100891113,405549200
2013-03-14,13.200361362464719,13.255562418156847,13.127776571399354,13.190298080444336,303875600
2013-03-15,13.355899344652116,13.548035780160099,13.335160369249893,13.530652046203613,643960800
2013-03-18,13.463252413945522,13.951521511801596,13.455628197363147,13.898456573486328,606197200
2013-03-19,14.013733059224792,14.058566242183788,13.678257846914093,13.860940933227539,526775200
2013-03-20,13.95030653526652,13.95671081357619,13.71150774073595,13.787446975708008,308660800
2013-03-21,13.730720714042969,13.967382551770914,13.72706089415491,13.807269096374512,383255600
2013-03-22,13.863687750703706,14.09302989635172,13.818856188868004,14.087236404418945,395105200
2013-03-25,14.172020441241353,14.332440074217235,14.083272675315289,14.138168334960938,501135600
2013-03-26,14.194892573685863,14.207091970665301,14.0451494548476,14.063753128051758,294294000
2013-03-27,13.921027972984053,13.931396649413191,13.746275219067142,13.787446975708008,331237200
2013-03-28,13.718520760822013,13.779516127736636,13.468438779217122,13.50015640258789,442839600
2013-04-01,13.47697467677048,13.53187114681675,13.045126626218392,13.080808639526367,389732000
2013-04-02,13.040857279769876,13.362303245684725,13.004259088911674,13.107646942138672,529519200
2013-04-03,13.155834584690634,13.33607703261371,13.12350699308212,13.17474365234375,363216000
2013-04-04,13.22872613810814,13.2665426462418,12.969189217903118,13.04451847076416,358447600
2013-04-05,12.9463169921547,12.960041724531052,12.79931747767102,12.906670570373535,383695200
2013-04-08,12.95698935098512,13.037808330476336,12.885015342637132,12.998466491699219,300829200
2013-04-09,13.003041514912804,13.068305853259332,12.892943980226704,13.021949768066406,306614000
2013-04-10,13.056106972415112,13.329367789892471,12.992366338750072,13.287585258483887,375928000
2013-04-11,13.22750356700955,13.357729283092967,13.150648992640386,13.246108055114746,328364400
2013-04-12,13.240619782865245,13.240619782865245,13.086301452172387,13.107954978942871,238613200
2013-04-15,13.022556619678037,13.049699867447117,12.795348172195805,12.804497718811035,317520000
2013-04-16,12.856956889408242,13.010665241282855,12.826459207007558,12.999382019042969,305771200
