Symbol,Strategy,TotalReturn_%,rnorm100_%,SharpeDaily,SharpeAnnual,Calmar,MaxDrawdown_%,TimeDD_bars,VWR,SQN,WinRate_%,ProfitFactor,AvgTradePL,trades_total,Sortino
SPY,AdxBreakout,0.38853925329605793,0.015267321340429473,0.0068401932961184905,0.10858470228684432,0.07923280031786872,-0.1926894074067752,1999.0,0.7004449042024714,1.4110026103085782,0.5,1.9924411431048537,12.495391422787634,38,0.16561072388254405
SPY,AtrChannelReversion,-0.022655209200247762,-0.000883099889951025,-0.0022670161780214636,-0.03598776615122955,-0.0015834762921350409,-0.5576969445878595,6197.0,-0.05777797280801204,-0.0767517486449281,0.7,0.930982335760164,-2.240050701787621,10,0.030985016463959132
SPY,AtrTrailingTrend,-0.41101895075649164,-0.015900819856046883,-0.007967266803075398,-0.12647643953902876,-0.022105364171059905,-0.7193195159781198,6419.0,-0.6464882882367803,-1.1771218498387575,0.32167832167832167,0.8157308317181698,-1.4916567566072376,286,-0.059737873225726365
SPY,BollingerBreakout,-0.22232037488564174,-0.008632400353856632,-0.017651450486210737,-0.2802080895965026,-0.025695592498414573,-0.3359486789179605,5704.0,-0.4191837849859401,-1.16389329713331,0.3783783783783784,0.7588409625977791,-1.9248681654131083,111,-0.07895110729865867
SPY,BuyAndHold,1.4853312980354436,0.059634230713176646,0.022089881173120128,0.3506659924502616,0.1100454339502753,-0.5419055436695605,1804.0,2.1304709807724382,0.0,,,,1,0.515815916314918
SPY,DonchianTurtle,0.6012742681520842,0.023725087770804076,0.011596285946291704,0.184085332475287,0.06023125072213679,-0.3938999686434271,3349.0,0.999079855959488,1.3937080638832386,0.48148148148148145,1.5208490630932232,8.206156595385025,81,0.28211408788094533
SPY,EmaCross,0.6402212128247088,0.025281125692869597,0.01239003717305785,0.19668574256854093,0.08494146176676089,-0.29762998148405484,2733.0,1.0513288369277745,1.4148640281256688,0.41836734693877553,1.5018048429723747,7.446192350818222,98,0.3044943813296871
SPY,GoldenCross,1.466310371673578,0.05884852453358924,0.02865154345282085,0.4548291519259491,0.17997155028965828,-0.32698792914143643,744.0,2.106311056837267,2.6062927297562863,0.6666666666666666,10.615862166239703,299.5588224245682,12,0.5336497157791174
SPY,IchimokuTrend,0.28367659253998284,0.011124013716380571,0.0030764833728462847,0.04883765950305883,0.04156184584431826,-0.26764965536056157,4478.0,0.5414480179597999,1.250361687950989,0.4032258064516129,1.5172692894053215,5.290377017699222,62,0.14708622851033354
SPY,KeltnerBreakout,0.20504853612739932,0.008028377710148634,0.0005917978777138444,0.009394500065079877,0.02974997684414847,-0.26986164568150706,4281.0,0.4136109407317834,0.5583851839655544,0.4306569343065693,1.1313482806831494,1.125913642296719,137,0.1201108125206801
SPY,MacdSignal,0.3497726902426399,0.0137336120271563,0.005569997024472134,0.0884209615807381,0.042267060973253924,-0.32492469812005054,3673.0,0.642702406400868,0.8581583087675605,0.40875912408759124,1.1553238960693704,1.4891100823458567,274,0.17303385640205737
SPY,MaEnvelope,0.37462155017482446,0.014716432834118024,0.006107538357994971,0.09695416570825484,0.03580412673156505,-0.41102616311387263,4398.0,0.679926786493215,0.6617279546127861,0.4090909090909091,1.2513645038718695,5.047981921904756,66,0.1991941934863186
SPY,MonthlyRotator,0.7836227357306124,0.031030826191198638,0.014986822296588164,0.23790842843934104,0.08010217197155473,-0.3873905716591314,1602.0,1.2399190853816555,1.0926939428692193,0.43478260869565216,2.033154320387148,53.188820434947395,23,0.3068231350823776
SPY,Rsi2,0.4667328027608813,0.018367932061715546,0.01070003253011901,0.16985775056997685,0.12320663318480268,-0.14908233093395817,819.0,0.813171071444488,2.1883684098396605,0.6923076923076923,1.6212821673829596,3.5193800410964045,169,0.1631875595150674
SPY,RsiStochCombo,0.5715058324187945,0.02253734912167864,0.010311303148493163,0.16368686294346138,0.06858402807978257,-0.3286092950892494,1551.0,0.9583807170656423,1.577407491715339,0.7307692307692307,1.603609548473056,7.412805491268916,104,0.1426923846172835
SPY,SmaCross,1.466310371673578,0.05884852453358924,0.02865154345282085,0.4548291519259491,0.17997155028965828,-0.32698792914143643,744.0,2.106311056837267,2.6062927297562863,0.6666666666666666,10.615862166239703,299.5588224245682,12,0.5336497157791174
SPY,TwelveMonthMomentum,1.3050257686937932,0.052209637665004284,0.025857886942883893,0.41048122968297013,0.1994131828148516,-0.26181638008094565,786.0,1.902360706739779,1.7441702347997339,0.35555555555555557,3.2015613584509404,49.68567681613309,45,0.5114561558266324
SPY,VwapReversion,0.05816865117647092,0.002270990166887904,-0.000544644917104071,-0.008645970020956567,0.004271510649496332,-0.5316597225751232,6197.0,0.13874492792625162,0.19576109146495957,0.75,1.178066382265515,4.991144413561565,12,0.04783239344180125
QQQ,AdxBreakout,-0.03632735655588192,-0.001415662718089899,0.0013743289711983,0.021816796064291714,-0.00214848187334634,-0.6589130379233556,6372.0,-0.0885700075478246,-0.07588594467322342,0.3488372093023256,0.9624209432204596,-0.8296613060491252,43,0.045348108311048047
QQQ,AtrChannelReversion,-0.7296379545399592,-0.028052849398794485,-0.008590694336774217,-0.13637304482685325,-0.035866064794488235,-0.7821557664476628,6360.0,-0.8741751348817456,-0.9600321966585644,0.8,0.11607733171320485,-103.58330107207973,5,-0.05770155855608045
QQQ,AtrTrailingTrend,-0.5708654130383055,-0.022016187728700218,-0.0022046902782659147,-0.03499837316528041,-0.024056236610231086,-0.9151966737530658,6372.0,-0.7821290635790205,-0.7433066725718107,0.3230769230769231,0.7617997577591324,-2.0479449592281913,260,0.011233537516211806
