symbol,metric,obs_value,p_value,holm_adj,bh_adj
AAPL,sharpe,0.8758222135369392,0.037819243615127694,0.10259794804103917,0.05672886542269154
AAPL,sortino,1.0537625745641874,0.034199316013679724,0.10259794804103917,0.05672886542269154
AAPL,max_dd,-0.5908798819767568,0.9069418611627768,0.9069418611627768,0.9069418611627768
MSFT,sharpe,0.29415467315508986,0.5521689566208676,1.0,0.5602287954240915
MSFT,sortino,0.31692186165351494,0.5602287954240915,1.0,0.5602287954240915
MSFT,max_dd,-0.6328144034714493,0.49167016659666807,1.0,0.5602287954240915
GOOG,sharpe,0.46409026081607135,0.9719805603887922,1.0,0.9807203855922881
GOOG,sortino,0.5234594768729885,0.9807203855922881,1.0,0.9807203855922881
GOOG,max_dd,-0.4419534348483549,0.8507429851402972,1.0,0.9807203855922881
COMBINED,sharpe,,0.25354750455087105,,
COMBINED,sortino,,0.24187431884052088,,
COMBINED,max_dd,,0.9252634585011785,,
