Symbol,Strategy,TotalReturn_%,rnorm100_%,SharpeDaily,SharpeAnnual,Calmar,MaxDrawdown_%,TimeDD_bars,VWR,SQN,WinRate_%,ProfitFactor,AvgTradePL,trades_total,Sortino
SPY,AdxBreakout,0.39488009406224095,0.015415034842294163,0.006961737806031221,0.11051416156557017,0.07822523540504171,-0.1970596158960315,2016.0,0.7050327425956042,1.2912055039765427,0.48717948717948717,1.8694474881176013,11.180767814748625,39,0.168286392593069
SPY,AtrChannelReversion,-0.03219283646162336,-0.001246354827311339,-0.0024920472937465387,-0.03956002436798922,-0.002230622094267226,-0.5587476383895384,6240.0,-0.07986406494427997,-0.10891187806318793,0.7,0.9028456660280453,-3.1680163296911843,10,0.028836902224557967
SPY,AtrTrailingTrend,-0.6375770262283816,-0.02439683778865925,-0.012063100831930023,-0.1914957890494993,-0.03251845872205885,-0.7502458218325608,6462.0,-0.8209272484642461,-1.5021784132038867,0.2961672473867596,0.7717350779370319,-1.7150933550384484,287,-0.13418838034115946
SPY,BollingerBreakout,-0.3356975936889161,-0.012920537664041158,-0.022209379872370115,-0.3525629754915286,-0.03339620946020291,-0.3868863524597937,5747.0,-0.5619690634446535,-1.6289782932446049,0.38392857142857145,0.6831954423251765,-2.5460781693519006,112,-0.12973205701076856
SPY,BuyAndHold,1.5377889420749862,0.06138331229131651,0.02266921399618831,0.35986261590731394,0.1132258139127973,-0.542131782232909,1804.0,2.1822167160739445,0.0,,,,1,0.5274478320312642
SPY,DonchianTurtle,0.5762613214798209,0.022575081747172144,0.010896019903911671,0.17296895367696108,0.05484034120066916,-0.41165100823436673,4501.0,0.9587287843011578,1.1974497876228913,0.48148148148148145,1.42835275451425,6.708658121667165,81,0.2720594874536901
SPY,EmaCross,0.600296849746427,0.023527668030433352,0.011351204542822306,0.18019478580800674,0.07533565339278818,-0.3123045592737321,3295.0,0.9910195122273752,1.194487335512544,0.41836734693877553,1.4017609439346883,5.9183023285565195,98,0.2882114186861583
SPY,GoldenCross,1.5065244584936297,0.06009857663034683,0.029293543827894102,0.46502059193027323,0.1837199170964623,-0.32712063874267927,744.0,2.142700853397739,2.5960450252847855,0.6666666666666666,10.38683366313652,295.71639538794074,12,0.5450434034576311
QQQ,AdxBreakout,-0.043284077322935155,-0.0016753954912178985,0.0012539597002257101,0.019905993125366003,-0.0025249035002217054,-0.6635483261323794,6415.0,-0.103502389834799,-0.1593660756481222,0.3409090909090909,0.922591915965098,-1.7177370104184528,44,0.044724094447333905
QQQ,AtrChannelReversion,-0.7349426333491655,-0.02806977257771779,-0.008644516800140174,-0.13722744994494449,-0.03587245081025621,-0.7824882867967423,6403.0,-0.8707840416932491,-0.9644983093558182,0.8,0.11269939745995917,-104.09340652276849,5,-0.058043553049824795
QQQ,AtrTrailingTrend,-0.7856239627873977,-0.0299761551437206,-0.004676663427973589,-0.07423973037581368,-0.03263008429917713,-0.9186661875855633,6415.0,-0.8895502744112072,-0.7885231745352286,0.3015267175572519,0.738814809339459,-2.121346997205795,262,-0.02527504039460553
QQQ,BollingerBreakout,-0.38031631210879585,-0.01462523452679386,-0.011519320337405936,-0.18286354131158855,-0.02780943798842198,-0.5259090289017292,6461.0,-0.6109940732812502,-1.1785483939640171,0.37398373983739835,0.7432883288525338,-2.5719908148326045,123,-0.06052423248977552
QQQ,BuyAndHold,1.4552731780387858,0.05799589679996275,0.02000996988358783,0.31764842432319285,0.06519134798318986,-0.8896256726416745,5008.0,2.0778747838775633,0.0,,,,1,0.39797380407834676
QQQ,DonchianTurtle,0.4064081651058445,0.015868611245963705,0.008630478308493082,0.1370045957988605,0.020914860001901958,-0.7587242393456444,6366.0,0.7212739092399147,0.46198914638185834,0.5128205128205128,1.1800549319132572,3.3857558985646325,78,0.14729319824572845
QQQ,EmaCross,1.2091797397187518,0.04795739908381896,0.020853005948093604,0.33103120696083815,0.15852549032855734,-0.30252168900044557,1759.0,1.7693887985954837,1.5923531275895078,0.42574257425742573,1.6227063339111278,18.13533701905989,101,0.4206130263894157
QQQ,GoldenCross,2.3554028027395986,0.0955395315980186,0.038241418735327125,0.6070637025357705,0.3462625304379966,-0.27591645991025404,932.0,3.24873515226884,2.344545998676614,0.5882352941176471,18.550893950187923,551.8444814017002,17,0.720577309197616
MTUM,AdxBreakout,0.2847317402737587,0.0232640465020258,0.012765393001281551,0.2026443316163725,0.12694478827118968,-0.18326113910503572,975.0,1.1312512546272715,0.7720489715682087,0.3888888888888889,1.7174533917053125,18.300297464810257,18,0.22315542383429396
MTUM,AtrChannelReversion,0.24242673091072026,0.01977357827742828,0.014501227260347707,0.23019984621666317,0.21007857574929933,-0.09412467790635348,1372.0,0.9895806264455665,2.317600847161695,0.8333333333333334,9.984352923654935,45.7229793611934,6,0.07650365935837887
MTUM,AtrTrailingTrend,0.17713527043037589,0.01440991564000718,0.006199541622622063,0.09841467225631094,0.028614295390711184,-0.5035914896120401,1261.0,0.7591375700447319,-0.06880011458199704,0.3082706766917293,0.9809219096121505,-0.33384495745362425,133,0.20243685545025528
MTUM,BollingerBreakout,0.057044019535729615,0.004618031972430983,-0.0022274392106991854,-0.03535950127214428,0.02387768046869696,-0.19340370931276624,1261.0,0.2846442932209617,0.248699139761863,0.4,1.09861193977759,1.0518938912815168,55,0.07332299428214799
MTUM,BuyAndHold,1.5635051656876777,0.13460333984295555,0.0441010690729039,0.7000827679139133,0.4007228435276827,-0.3359013393346938,654.0,4.773008692101151,0.0,,,,1,0.9345836058420687
